event_date,category,topic,company,title,capacity_mw,status_after,materiality_score,confidence,review_status,source_name,source_url
2026-09-08,Policy & regulation,PDP2026,,EPPO opens public hearing on draft PDP2026,24300.0,,12,0.98,verified_seed,The Nation — PDP2026 consultation coverage,https://www.nationthailand.com/sustaination/40070547
2026-09-07,Project & investment,Project COD,GULF,01 September 2026 Notification of the commercial operation commencement of two solar power projects Read More,,COD,8,0.95,auto,GULF SET announcements,https://investor.gulf.co.th/en/document/viewer/203067/notification-of-the-commercial-operation-commencement-of-two-solar-power-projects
2026-09-07,Project & investment,Project COD,GULF,06 August 2026 Financial Statement Quarter 2/2026 (Reviewed) Read More,,COD,8,0.95,auto,GULF SET announcements,javascript:;
2026-09-07,Project & investment,Project execution,GULF,24 August 2026 Entry into long-term project financing for three wind power projects Read More,,,5,0.95,auto,GULF SET announcements,https://investor.gulf.co.th/en/document/viewer/202816/entry-into-long-term-project-financing-for-three-wind-power-projects
2026-09-01,Project & investment,Solar COD,GULF,GULF starts commercial operation of two solar projects,135.0,COD,9,0.99,verified_seed,GULF SET announcement,https://www.set.or.th/th/market/news-and-alert/newsdetails?id=106626501&symbol=GULF
2026-09-01,Project & investment,Project PPA,GUNKUL,14 August 2026 Financial Statement Quarter 2/2026 (Reviewed) Read More,,PPA signed,7,0.95,auto,GUNKUL SET announcements,javascript:;
2026-09-01,Project & investment,Project PPA,GUNKUL,20 July 2026 Notification of the Execution of Power Purchase Agreements for Three Renewable Energy Power Projects Comprising Solar and Wind Power Projects Read More,,PPA signed,7,0.95,auto,GUNKUL SET announcements,https://hub.optiwise.io/en/documents/225047/644370581ADCC7382A43725E1ADAC538670F012F1DDEC03E124207571CD8C14B6F377B2819ADC34E153501566FAEB63E124B6C1E4E8DCF3A6643755C1AD9C3396440725F1BDBC33A66366C1E4E8D_200720261230110620E.pdf
2026-09-01,Project & investment,Power / renewables project,GUNKUL,07 July 2026 Notification of Investment in Solar Floating Power Plant Project in the Philippines Read More,,,5,0.95,auto,GUNKUL SET announcements,https://hub.optiwise.io/en/documents/224667/644370581ADCC53F2A43725E1ADAC538670F075A18AFCC3D10357A5A19AFC13C174B075D12D9B34B1237712D1FD8C04E60416C1E4E8DCF386143755C1AD9C3386E40755B13DFC63F66366C1E4E8D_070720260837594370E.pdf
2026-09-01,Project & investment,Power / renewables project,GUNKUL,15 June 2026 Clarification of Facts Regarding News Reports Concerning an Incident at the Group's Solar Power Project Site Read More,,,5,0.95,auto,GUNKUL SET announcements,https://hub.optiwise.io/en/documents/223720/644370581ADDC43D2A43725E1ADAC538670F755D19D2B7381547065C19DAB73C6435042B1CA8C4386431005C6FDEC34D17356C1E4E8DCF396343745C1AD9C33964467B5E19D9C63C66366C1E4E8D_150620261259032340E.pdf
2026-08-31,Market design,Direct PPA,,Direct PPA policy direction broadens clean-power access for industry,,,11,0.96,verified_seed,Ministry of Energy,https://www.energy.go.th/th/minister-news/30493
